layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
146,Linear,0.021781270706155986,1024,4096,4.0,3.9184143312455437,6.342442475841673,0.9570209179767982,True,41.55514144897461,dense,6.347091763882934,2.9481845907419135,1.6186247649379144,backbone.layers.4.mlp.c_fc,1024,887.5331653298344,1024,87,0,1,0.31288685863786075,41.55514144897461,21.357962802740854,success,6.4463276863098145,0.06150555983185768,,0,41.55514144897461,2.3560056686401367
148,Linear,0.045753182161053535,1024,4096,4.0,5.009058657904277,5.094817994564577,0.9817019687094687,True,10.402095794677734,dense,5.140823654995002,2.77997431291635,1.0171208489493275,backbone.layers.4.mlp.c_proj,1024,602.5239477197174,1024,23,0,1,0.835946516973353,10.402095794677734,57.92332233933096,success,3.2252280712127686,0.05291158705949783,,0,10.402095794677734,2.648472309112549
153,Linear,0.11705120767832283,512,1024,2.0,22.87304150537675,1.6644617005612037,0.9870814179276026,True,1.1824140548706055,dense,2.254537883900914,2.3125020444036206,0.07276958336170289,backbone.layers.5.tada.tada_pre_proj,512,205.35346932709217,512,11,0,1,6.594970154291375,1.1824140548706055,173.67306188656943,success,1.0873886346817017,0.18653811514377594,under-trained,0,1.1824140548706055,1.0566209554672241
154,TAdaConv2dV2,0.07989636043801704,1,1,1.0,3.915753708145429,-9.274535389875517,1.0052843884258253,True,0.004280371125787497,conv2d,-8.013840992246047,-0.03806887426881529,-2.3685185742358916,backbone.layers.5.tada.tadaconv,1536,0.9160751992757482,1536,221,0,512,0.19613481934632943,0.004280371125787497,214.0177036885347,success,0.06542454659938812,0.024764765053987503,,50,0.004280371125787497,0.0013504702365025878
170,Linear,0.030135844161593983,512,1024,2.0,2.6849411943096944,-4.268783793291054,0.8940288084162561,True,0.0257099699229002,dense,-3.7327610583410613,-0.22186262270251364,-1.5898984314211657,backbone.layers.5.tada.tada_proj,512,0.599980833929294,512,63,0,1,0.21228263685293383,0.0257099699229002,23.336504699481715,success,0.16034328937530518,0.0062087164260447025,,0,0.0257099699229002,0.002332858042791486
172,NonDynamicallyQuantizableLinear,0.05018468264740972,1024,1024,1.0,4.576021990813355,1.59880180935367,0.9632031548389417,True,2.235562562942505,dense,1.9876042079862515,2.25526015999627,0.3493868282458788,backbone.layers.5.attn.out_proj,1024,179.99488345402307,1024,46,0,1,0.5272556775784506,2.235562562942505,80.51435752131633,success,1.4951797723770142,0.00025168544379994273,,1,2.235562562942505,0.6893664002418518
175,Linear,0.02130285716957725,1024,4096,4.0,4.05106306119423,5.35794515158468,0.9814848193323957,True,21.018526077270508,dense,5.419511571955192,2.979220018865279,1.3226022578886216,backbone.layers.5.mlp.c_fc,1024,953.2789844367653,1024,96,0,1,0.3113978197074963,21.018526077270508,45.35422612090977,success,4.584596633911133,0.12648212909698486,,0,21.018526077270508,2.2911722660064697
177,Linear,0.05030406200405835,1024,4096,4.0,3.477398003227844,3.182873787091264,0.9890574015823197,True,8.228170394897461,dense,3.7277152758583556,2.8123654397647373,0.9153032767997242,backbone.layers.5.mlp.c_proj,1024,649.1804606812075,1024,114,0,1,0.23202958194640186,8.228170394897461,78.89730396003759,success,2.868478775024414,0.054226748645305634,,0,8.228170394897461,1.3777482509613037
182,Linear,0.12208909847959815,512,1024,2.0,12.159886076308066,0.7434713988974864,0.9870278466182986,True,1.1511749029159546,dense,1.762245423383528,2.3097933761614646,0.06114131285703756,backbone.layers.6.tada.tada_pre_proj,512,204.0766780152917,512,31,0,1,2.0043747093197104,1.1511749029159546,177.2768651387034,success,1.0729281902313232,0.1821122169494629,under-trained,0,1.1511749029159546,0.9293739795684814
183,TAdaConv2dV2,0.06897420575213181,1,1,1.0,6.7246293127381405,-15.689610115826097,1.0055535794976609,True,0.0046434830874204636,conv2d,-15.085147899044467,-0.04449619784637133,-2.33315613190842,backbone.layers.6.tada.tadaconv,1536,0.9026176096570269,1536,46,0,512,0.8440505441317758,0.0046434830874204636,194.3837401071373,success,0.06814310699701309,0.03327523171901703,under-trained,68,0.0046434830874204636,0.002321750158444047
199,Linear,0.032399747071824136,512,1024,2.0,2.888906090963637,-4.359453924773476,0.9069027284209658,True,0.03097185678780079,dense,-3.775355372693294,-0.03771860606334557,-1.5090327575581788,backbone.layers.6.tada.tada_proj,512,0.9168143324204721,512,47,0,1,0.2755252708987322,0.03097185678780079,29.60152950150497,success,0.17598822712898254,0.007861064746975899,,0,0.03097185678780079,0.004551575519144535
